batch_size,run_idx,device,use_cache,prompt_len_tokens_avg,new_tokens_per_seq,batch_time_s,tokens_per_sec,gpu_util_mean,gpu_util_p95,est_cache_mb_prompt,est_cache_mb_total
1,1,cuda,True,4.0,116,0.580994976999591,199.65749204761482,33.25,50.0,0.0703125,2.3203125
1,2,cuda,True,4.0,128,0.6214189760003137,205.98019201772073,40.84615384615385,43.0,0.0703125,2.3203125
1,3,cuda,True,4.0,21,0.10374185099999522,202.42553798274687,38.666666666666664,43.0,0.0703125,2.3203125
1,4,cuda,True,4.0,6,0.03163840200022605,189.64295352076033,30.0,30.0,0.0703125,2.3203125
1,5,cuda,True,4.0,12,0.060264044999712496,199.12370635023336,27.0,29.7,0.0703125,2.3203125
2,1,cuda,True,8.5,128,1.071852578999824,238.8388151651236,29.761904761904763,34.0,0.28125,4.78125
2,2,cuda,True,8.5,128,1.4546069319999333,175.99256154240007,27.517241379310345,31.0,0.28125,4.78125
2,3,cuda,True,8.5,128,1.3455044069996802,190.26321925682169,32.148148148148145,42.0,0.28125,4.78125
2,4,cuda,True,8.5,110,0.9575202850001006,229.76014549913884,37.8421052631579,41.0,0.28125,4.78125
2,5,cuda,True,8.5,74,0.6442706610000641,229.71711884298463,38.53846153846154,40.0,0.28125,4.78125
4,1,cuda,True,12.75,128,1.1948195510003643,428.5165902845558,39.083333333333336,41.0,0.84375,9.84375
4,2,cuda,True,12.75,128,1.1474078680003004,446.22319079292384,37.56521739130435,41.0,0.84375,9.84375
4,3,cuda,True,12.75,128,1.132001986999967,452.2960258726251,36.95652173913044,40.9,0.84375,9.84375
4,4,cuda,True,12.75,128,1.1448187480000342,447.23236835040433,36.78260869565217,40.9,0.84375,9.84375
4,5,cuda,True,12.75,128,1.1451794140002676,447.0915157403278,36.52173913043478,40.0,0.84375,9.84375
